Date,Close
2021-01-01,901.1946411132812
2021-01-04,902.713623046875
2021-01-05,891.4912109375
2021-01-06,867.9807739257812
2021-01-07,866.5750732421875
2021-01-08,876.800048828125
2021-01-11,860.2724609375
2021-01-12,887.3876953125
2021-01-13,879.1124877929688
2021-01-14,888.9972534179688
2021-01-15,878.5004272460938
2021-01-18,899.5849609375
2021-01-19,914.298828125
2021-01-20,931.665283203125
2021-01-21,951.93359375
2021-01-22,929.3526611328125
2021-01-25,880.110107421875
2021-01-27,859.2522583007812
2021-01-28,850.8864135742188
2021-01-29,835.1976928710938
2021-02-01,859.3882446289062
2021-02-02,873.2179565429688
2021-02-03,875.4171752929688
2021-02-04,872.537841796875
2021-02-05,872.2883911132812
2021-02-08,884.848388671875
2021-02-09,886.9796142578125
2021-02-10,895.2093505859375
2021-02-11,932.11865234375
2021-02-12,925.725341796875
2021-02-15,921.6443481445312
2021-02-16,933.8417358398438
2021-02-17,944.6106567382812
2021-02-18,937.5598754882812
2021-02-19,943.27294921875
2021-02-22,910.5352783203125
2021-02-23,917.4954833984375
2021-02-24,934.5219116210938
2021-02-25,972.3153076171875
2021-02-26,945.7669677734375
2021-03-01,952.9765014648438
2021-03-02,954.9261474609375
2021-03-03,998.5009155273438
2021-03-04,986.5983276367188
2021-03-05,987.890625
2021-03-08,993.5132446289062
2021-03-09,993.4906005859375
2021-03-10,989.3642578125
2021-03-12,969.2547607421875
2021-03-15,956.2411499023438
2021-03-16,952.477783203125
2021-03-17,931.9599609375
2021-03-18,910.9888305664062
2021-03-19,944.0439453125
2021-03-22,935.1566162109375
2021-03-23,946.5377807617188
2021-03-24,928.309814453125
2021-03-25,902.9857177734375
2021-03-26,904.4366455078125
2021-03-30,920.1480712890625
2021-03-31,908.2681274414062
2021-04-01,916.77001953125
2021-04-05,903.5072021484375
2021-04-06,899.74365234375
2021-04-07,908.15478515625
2021-04-08,909.2883911132812
2021-04-09,898.7234497070312
2021-04-12,866.5750732421875
2021-04-13,875.9384765625
2021-04-15,881.6063232421875
2021-04-16,876.0745239257812
2021-04-19,862.290283203125
2021-04-20,862.0408325195312
2021-04-22,864.42138671875
2021-04-23,863.4918823242188
2021-04-26,878.6817016601562
2021-04-27,901.716064453125
2021-04-28,905.63818359375
2021-04-29,917.767578125
2021-04-30,904.3687133789062
2021-05-03,888.2945556640625
2021-05-04,869.0462646484375
2021-05-05,870.6334228515625
2021-05-06,875.57568359375
2021-05-07,875.9158935546875
2021-05-10,873.3992309570312
2021-05-11,876.5506591796875
